,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Asunción de la Virgen,Asunción de la Virgen_lower,Asunción de la Virgen_upper,Año nuevo,Año nuevo_lower,Año nuevo_upper,CFSDay,CFSDay_lower,CFSDay_upper,Día de la Constitución Española,Día de la Constitución Española_lower,Día de la Constitución Española_upper,Día de la Hispanidad,Día de la Hispanidad_lower,Día de la Hispanidad_upper,Día del Trabajador (Trasladado),Día del Trabajador (Trasladado)_lower,Día del Trabajador (Trasladado)_upper,Epifanía del Señor,Epifanía del Señor_lower,Epifanía del Señor_upper,LPPDay,LPPDay_lower,LPPDay_upper,La Inmaculada Concepción,La Inmaculada Concepción_lower,La Inmaculada Concepción_upper,Navidad (Trasladado),Navidad (Trasladado)_lower,Navidad (Trasladado)_upper,Openning,Openning_lower,Openning_upper,PN1,PN1_lower,PN1_upper,PN2,PN2_lower,PN2_upper,PN3,PN3_lower,PN3_upper,PN4,PN4_lower,PN4_upper,PN5,PN5_lower,PN5_upper,SuperSpike,SuperSpike_lower,SuperSpike_upper,Todos los Santos,Todos los Santos_lower,Todos los Santos_upper,Viernes Santo,Viernes Santo_lower,Viernes Santo_upper,VoucherDay,VoucherDay_lower,VoucherDay_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2022-02-01,66904.37455907982,68772.14699913019,75095.54524052785,66904.37455907982,66904.37455907982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008826141790361374,0.008826141790361374,0.008826141790361374,0.008826141790361374,0.008826141790361374,0.008826141790361374,0.07541125710751895,0.07541125710751895,0.07541125710751895,0.06658511531715758,0.06658511531715758,0.06658511531715758,0.0,0.0,0.0,71949.71755057234
1,2022-02-02,66937.543473044,74071.44164591971,80254.3308033872,66937.543473044,66937.543473044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07869257072735868,0.07869257072735868,0.07869257072735868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041161540676206386,0.041161540676206386,0.041161540676206386,0.11985411140356506,0.11985411140356506,0.11985411140356506,0.15267552781246865,0.15267552781246865,0.15267552781246865,0.03282141640890358,0.03282141640890358,0.03282141640890358,0.0,0.0,0.0,77157.26825326106
2,2022-02-03,66970.71238700817,71879.56115968956,78194.02245509862,66970.71238700817,66970.71238700817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08989084400380629,0.08989084400380629,0.08989084400380629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008826141790361374,0.008826141790361374,0.008826141790361374,0.09871698579416766,0.09871698579416766,0.09871698579416766,0.11746399382502169,0.11746399382502169,0.11746399382502169,0.01874700803085404,0.01874700803085404,0.01874700803085404,0.0,0.0,0.0,74837.35973329301
3,2022-02-04,67003.88130097237,62720.67273237923,69271.84220780541,67003.88130097237,67003.88130097237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119827327644761,0.01119827327644761,0.01119827327644761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01119827327644761,0.01119827327644761,0.01119827327644761,-0.014033549073463804,-0.014033549073463804,-0.014033549073463804,-0.025231822349911413,-0.025231822349911413,-0.025231822349911413,0.0,0.0,0.0,66063.57904462263
4,2022-02-05,67037.05009906071,56390.504284235845,62386.8423526539,67037.05009906071,67037.05009906071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11497868590043285,-0.11497868590043285,-0.11497868590043285,-0.11497868590043285,-0.11497868590043285,-0.11497868590043285,0.0,0.0,0.0,59329.21817202923
5,2022-02-06,67070.21889714905,62505.008403811575,68831.26920750471,67070.21889714905,67070.21889714905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021274689880464204,-0.021274689880464204,-0.021274689880464204,-0.021274689880464204,-0.021274689880464204,-0.021274689880464204,0.0,0.0,0.0,65643.32078989736
6,2022-02-07,67103.38769523741,66980.70900079931,73371.19560701394,67103.38769523741,67103.38769523741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333165837374714,0.04333165837374714,0.04333165837374714,0.04333165837374714,0.04333165837374714,0.04333165837374714,0.0,0.0,0.0,70011.08876656854
7,2022-02-08,67136.55649332576,68405.15142884021,74588.92544022544,67136.55649332576,67136.55649332576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665851153171094,0.0665851153171094,0.0665851153171094,0.0665851153171094,0.0665851153171094,0.0665851153171094,0.0,0.0,0.0,71606.85184942748
8,2022-02-09,67129.05743988666,66249.10087697148,72241.30587716444,67129.05743988666,67129.05743988666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03282141640904684,0.03282141640904684,0.03282141640904684,0.03282141640904684,0.03282141640904684,0.03282141640904684,0.0,0.0,0.0,69332.328187268
9,2022-02-10,67121.55838644756,70619.70178041192,76925.18865647075,67121.55838644756,67121.55838644756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07869257072735868,0.07869257072735868,0.07869257072735868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07869257072735868,0.07869257072735868,0.07869257072735868,0.09743957875838843,0.09743957875838843,0.09743957875838843,0.01874700803102975,0.01874700803102975,0.01874700803102975,0.0,0.0,0.0,73661.85476122958
